,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
10,11,Metapod,1,Normal,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,120.0,70.0,72.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
11,12,Butterfree,1,Normal,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45.0,70.0,178.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
12,13,Weedle,1,Normal,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255.0,70.0,39.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
13,14,Kakuna,1,Normal,Cocoon Pokémon,2,Bug,Poison,0.6,10.0,1,Shed Skin,,,205,45,25,50,25,25,35,120.0,70.0,72.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
14,15,Beedrill,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.0,29.5,2,Swarm,,Sniper,395,65,90,40,45,80,75,45.0,70.0,178.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
15,16,Pidgey,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255.0,70.0,50.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
16,17,Pidgeotto,1,Normal,Bird Pokémon,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120.0,70.0,122.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
17,18,Pidgeot,1,Normal,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45.0,70.0,216.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
18,19,Rattata,1,Normal,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
19,20,Raticate,1,Normal,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127.0,70.0,145.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
20,21,Spearow,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255.0,70.0,52.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
21,22,Fearow,1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38.0,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90.0,70.0,155.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,23,Ekans,1,Normal,Snake Pokémon,1,Poison,,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255.0,70.0,58.0,Medium Fast,2,Dragon,Field,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
23,24,Arbok,1,Normal,Cobra Pokémon,1,Poison,,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90.0,70.0,157.0,Medium Fast,2,Dragon,Field,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
24,25,Pikachu,1,Normal,Mouse Pokémon,1,Electric,,0.4,6.0,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190.0,70.0,112.0,Medium Fast,2,Fairy,Field,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,26,Raichu,1,Normal,Mouse Pokémon,1,Electric,,0.8,30.0,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75.0,70.0,218.0,Medium Fast,2,Fairy,Field,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,27,Sandshrew,1,Normal,Mouse Pokémon,1,Ground,,0.6,12.0,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255.0,70.0,60.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
27,28,Sandslash,1,Normal,Mouse Pokémon,1,Ground,,1.0,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90.0,70.0,158.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
28,29,Nidoran♀,1,Normal,Poison Pin Pokémon,1,Poison,,0.4,7.0,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235.0,70.0,55.0,Medium Slow,2,Field,Monster,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
29,30,Nidorina,1,Normal,Poison Pin Pokémon,1,Poison,,0.8,20.0,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120.0,70.0,128.0,Medium Slow,1,Undiscovered,,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
30,31,Nidoqueen,1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45.0,70.0,227.0,Medium Slow,1,Undiscovered,,0.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
31,32,Nidoran♂,1,Normal,Poison Pin Pokémon,1,Poison,,0.5,9.0,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235.0,70.0,55.0,Medium Slow,2,Field,Monster,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,33,Nidorino,1,Normal,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120.0,70.0,128.0,Medium Slow,2,Field,Monster,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
33,34,Nidoking,1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45.0,70.0,227.0,Medium Slow,2,Field,Monster,100.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
34,35,Clefairy,1,Normal,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150.0,140.0,113.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
35,36,Clefable,1,Normal,Fairy Pokémon,1,Fairy,,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25.0,140.0,217.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
36,37,Vulpix,1,Normal,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
37,38,Ninetales,1,Normal,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505,73,76,75,81,100,100,75.0,70.0,177.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
38,39,Jigglypuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170.0,70.0,95.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
39,40,Wigglytuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50.0,70.0,196.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
40,41,Zubat,1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255.0,70.0,49.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
41,42,Golbat,1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55.0,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90.0,70.0,159.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
42,43,Oddish,1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255.0,70.0,64.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
43,44,Gloom,1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,120.0,70.0,138.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
44,45,Vileplume,1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45.0,70.0,221.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
45,46,Paras,1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190.0,70.0,57.0,Medium Fast,2,Bug,Grass,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
46,47,Parasect,1,Normal,Mushroom Pokémon,2,Bug,Grass,1.0,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75.0,70.0,142.0,Medium Fast,2,Bug,Grass,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
47,48,Venonat,1,Normal,Insect Pokémon,2,Bug,Poison,1.0,30.0,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190.0,70.0,61.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
48,49,Venomoth,1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75.0,70.0,158.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
49,50,Diglett,1,Normal,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255.0,70.0,53.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
50,51,Dugtrio,1,Normal,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50.0,70.0,149.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
51,52,Meowth,1,Normal,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255.0,70.0,58.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
52,53,Persian,1,Normal,Classy Cat Pokémon,1,Normal,,1.0,32.0,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90.0,70.0,154.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
53,54,Psyduck,1,Normal,Duck Pokémon,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190.0,70.0,64.0,Medium Fast,2,Field,Water 1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
54,55,Golduck,1,Normal,Duck Pokémon,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,75.0,70.0,175.0,Medium Fast,2,Field,Water 1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
55,56,Mankey,1,Normal,Pig Monkey Pokémon,1,Fighting,,0.5,28.0,3,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,190.0,70.0,61.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
56,57,Primeape,1,Normal,Pig Monkey Pokémon,1,Fighting,,1.0,32.0,3,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95,75.0,70.0,159.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
57,58,Growlithe,1,Normal,Puppy Pokémon,1,Fire,,0.7,19.0,3,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60,190.0,70.0,70.0,Slow,1,Field,,75.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
58,59,Arcanine,1,Normal,Legendary Pokémon,1,Fire,,1.9,155.0,3,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95,75.0,70.0,194.0,Slow,1,Field,,75.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
59,60,Poliwag,1,Normal,Tadpole Pokémon,1,Water,,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90,255.0,70.0,60.0,Medium Slow,1,Water 1,,50.0,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
60,61,Poliwhirl,1,Normal,Tadpole Pokémon,1,Water,,1.0,20.0,3,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90,120.0,70.0,135.0,Medium Slow,1,Water 1,,50.0,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
61,62,Poliwrath,1,Normal,Tadpole Pokémon,2,Water,Fighting,1.3,54.0,3,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70,45.0,70.0,230.0,Medium Slow,1,Water 1,,50.0,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
62,63,Abra,1,Normal,Psi Pokémon,1,Psychic,,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90,200.0,70.0,62.0,Medium Slow,1,Human-Like,,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
63,64,Kadabra,1,Normal,Psi Pokémon,1,Psychic,,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105,100.0,70.0,140.0,Medium Slow,1,Human-Like,,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
64,65,Alakazam,1,Normal,Psi Pokémon,1,Psychic,,1.5,48.0,3,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120,50.0,70.0,225.0,Medium Slow,1,Human-Like,,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
65,66,Machop,1,Normal,Superpower Pokémon,1,Fighting,,0.8,19.5,3,Guts,No Guard,Steadfast,305,70,80,50,35,35,35,180.0,70.0,61.0,Medium Slow,1,Human-Like,,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
66,67,Machoke,1,Normal,Superpower Pokémon,1,Fighting,,1.5,70.5,3,Guts,No Guard,Steadfast,405,80,100,70,50,60,45,90.0,70.0,142.0,Medium Slow,1,Human-Like,,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
67,68,Machamp,1,Normal,Superpower Pokémon,1,Fighting,,1.6,130.0,3,Guts,No Guard,Steadfast,505,90,130,80,65,85,55,45.0,70.0,227.0,Medium Slow,1,Human-Like,,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
68,69,Bellsprout,1,Normal,Flower Pokémon,2,Grass,Poison,0.7,4.0,2,Chlorophyll,,Gluttony,300,50,75,35,70,30,40,255.0,70.0,60.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
69,70,Weepinbell,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.0,6.4,2,Chlorophyll,,Gluttony,390,65,90,50,85,45,55,120.0,70.0,137.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
70,71,Victreebel,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,2,Chlorophyll,,Gluttony,490,80,105,65,100,70,70,45.0,70.0,221.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
71,72,Tentacool,1,Normal,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,3,Clear Body,Liquid Ooze,Rain Dish,335,40,40,35,50,100,70,190.0,70.0,67.0,Slow,1,Water 3,,50.0,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
72,73,Tentacruel,1,Normal,Jellyfish Pokémon,2,Water,Poison,1.6,55.0,3,Clear Body,Liquid Ooze,Rain Dish,515,80,70,65,80,120,100,60.0,70.0,180.0,Slow,1,Water 3,,50.0,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
73,74,Geodude,1,Normal,Rock Pokémon,2,Rock,Ground,0.4,20.0,3,Rock Head,Sturdy,Sand Veil,300,40,80,100,30,30,20,255.0,70.0,60.0,Medium Slow,1,Mineral,,50.0,15.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
