Ano,Continente,País,Setor,Consumo_Energia_Renovável (MWh),Consumo_Energia_Fóssil (MWh),Emissões_CO2 (toneladas),PIB (milhões de USD),População (milhões)
2013,Ásia,Índia,Residencial,727.0952732051228,14413.884422152081,156662.9213999873,4121900.8681598706,130.8710393392542
2006,Ásia,China,Transporte,5299.275870824178,9387.85781945839,159990.8708962647,3423097.679761589,140.41539152537328
2003,Europa,Índia,Residencial,3752.5905513244375,9196.153188299357,136314.604871833,4431288.457158662,59.16786885458361
2003,África,Índia,Comercial,5946.741236571919,10355.89977504915,64575.02333789045,4792834.618420065,118.26734269217647
2020,Europa,Rússia,Comercial,3679.731506731534,7471.7229032472405,110270.73149032495,6233471.805323264,39.511889016120094
2013,África,Brasil,Comercial,4386.32096562558,8901.41853822752,127266.6660927127,4207251.826450534,51.082883600580494
2021,Europa,Brasil,Transporte,6979.446422100944,8301.661701619214,122827.67319222898,4696581.016516509,220.75166042517827
2002,Oceania,Brasil,Indústria,3317.8982120166747,13496.277340984994,62965.10767892825,6562450.899523317,120.84435972453147
2018,América do Sul,Rússia,Indústria,6641.115950418551,12629.875517622913,114174.73901877177,2538335.9458719776,98.23897303711284
2020,América do Norte,Índia,Residencial,2396.337870917586,21465.353468551144,138972.72719809835,8469031.11575273,70.15204313102618
2008,Europa,Índia,Transporte,3863.5402206800964,18863.46310158084,77619.08603785995,3865133.907348492,146.47169949457648
2006,América do Sul,Estados Unidos,Transporte,4928.54444827946,16465.952239717153,167062.15003192384,6568432.671577034,38.21204665053624
2002,África,Austrália,Comercial,6317.162996889967,8187.540234761629,67644.86527283855,7813648.149624243,153.90320839248545
2010,Oceania,China,Residencial,5804.329834438032,21409.961872029737,69560.26732426863,2525185.9474240844,18.916792367985906
2009,América do Norte,Rússia,Indústria,5606.703805306768,10813.545965187339,84081.347335756,7193638.324394137,117.74526229756064
2005,Ásia,Brasil,Indústria,7969.110849458133,13102.164900869586,165765.46605200492,5016662.889506284,111.41680606928352
2000,América do Norte,Rússia,Comercial,6829.399100755533,22292.090608655966,63278.88525099086,5207364.937448237,233.94555824888073
2000,África,Brasil,Indústria,8476.054451435368,15174.687028200833,104485.76780301753,6137514.997892005,107.89683703273134
2020,América do Sul,Índia,Indústria,6118.261498864598,7615.262255036065,80807.8735852227,3077058.585567905,53.37479088344293
2012,América do Norte,Rússia,Residencial,7475.574124948509,4819.8377153727515,154457.16696215217,5654340.598333409,112.67048754667496
2016,América do Norte,China,Comercial,6541.86991357712,9010.938216226286,160696.03816107704,4634652.381083094,44.81463313393732
2009,África,Rússia,Indústria,4957.167188424151,8898.002876606983,191179.19271131099,3003779.9449870847,-44.25589211517416
2005,Oceania,Brasil,Transporte,6725.136593618432,7033.8464262372145,130006.00338300467,7220150.552621743,119.02455836280257
2021,Oceania,China,Indústria,3616.310131141705,11004.499355879383,48930.02901458403,4830990.566326402,159.30779446414783
2005,África,Brasil,Indústria,4842.256158428644,4979.68660404066,92814.71124059783,4519826.451991179,85.3268568834731
2021,América do Norte,Estados Unidos,Transporte,5391.753849194902,15917.559136427219,65352.18167271145,2566961.9709287374,38.7620996018239
2005,África,Índia,Comercial,3886.435781621894,13610.759169013767,54802.12957204419,5985211.3508330975,138.72347038186518
2010,América do Norte,Rússia,Residencial,3421.0568670506973,9389.806081251412,72321.15039469156,3752346.62855813,127.22132379379877
2006,América do Sul,Brasil,Transporte,-1376.6107591318687,9429.730438439345,139119.6805298872,5562805.664647487,136.9496538381789
2022,América do Sul,Rússia,Comercial,3595.0696025004936,7864.79452150973,161412.10290726303,5529953.387701619,139.4056723952241
2017,América do Sul,Brasil,Residencial,2974.528785073728,19300.36825301764,99173.7244184022,4049318.56773867,149.7184465005523
2007,América do Norte,Rússia,Residencial,4696.141251966397,11438.236993323757,147299.70498321566,5515360.386385409,53.767122846630045
2010,América do Sul,Índia,Transporte,4206.820374474082,8519.147817369048,101478.2923765496,4946641.225456955,230.7430194988357
2015,Europa,Brasil,Transporte,5610.848424486865,810.7622741002706,129277.65133946207,4604529.00648796,150.38656436223118
2009,África,Estados Unidos,Indústria,6371.130548976453,10393.974674691657,151669.1182753359,5682194.184157155,67.0420350171324
2007,Oceania,Índia,Indústria,3906.436712719223,20320.91221957579,96673.04484972046,2429831.7153266934,-15.917065087863634
2012,Europa,Brasil,Residencial,3376.537416556008,5541.6197457016715,221585.17665409343,2934756.1376375603,126.8440614548017
2014,África,Brasil,Comercial,9585.4675205902,4620.805219431995,114128.08480006718,2025079.343349515,65.29278345610689
2006,África,Rússia,Residencial,4280.852653469259,15545.092455001573,108695.53746399547,5169600.063512496,66.97044671446011
2012,Oceania,Brasil,Comercial,5594.219842805999,6954.96471262428,59119.32124977343,2594440.8924133335,136.00328038105454
2020,Europa,Brasil,Residencial,3904.7316989741485,20187.699033078938,27718.712357508542,901003.6399969198,101.78472166498557
2008,América do Sul,Brasil,Residencial,7022.681857974783,9827.472968772621,126407.62581105206,5654077.431096619,79.99344068326127
2011,Oceania,Estados Unidos,Indústria,5691.443220056901,14533.883619171122,120252.28103385433,2668084.8108564634,100.60893341579684
2011,América do Norte,Brasil,Transporte,5606.379362516744,8779.67922528586,93957.62920921334,4326866.673701986,16.79531897430256
2014,Oceania,Índia,Transporte,2718.3696229684124,7250.8683858530785,109024.02438236905,3990064.3635157645,123.41683234138377
2014,Oceania,Austrália,Transporte,1711.9543109463611,15057.247160833862,128466.99717994913,8296670.842854441,98.4559063996862
2004,Oceania,Estados Unidos,Indústria,9552.414048198989,10898.387588700858,103201.84680758708,2708623.1726913727,52.9666161861009
2006,Ásia,China,Indústria,5586.0464619534705,22465.64721514631,61867.28893463777,3146948.731815289,79.01475437936158
2019,África,Rússia,Transporte,967.1220258512767,7103.71353256134,191221.5521103072,6881010.403791392,-26.482095962584822
2005,América do Sul,Índia,Residencial,4656.896716273061,12617.574536826525,121235.53873615785,3949733.0112906713,46.16654253187371
2014,América do Sul,Rússia,Comercial,9443.942585036748,19270.714242890077,102137.12424314984,4684835.076692329,3.974168723311422
2019,América do Sul,Austrália,Transporte,4485.346610074297,8779.756339570133,120577.78179534644,3790360.6883891155,58.27895900765764
2002,América do Norte,China,Transporte,3140.2851842688833,12268.551139242889,45373.139442329826,4285992.522102925,144.25867513030047
2019,Europa,Austrália,Indústria,1925.7985565501417,840.4838276006394,102490.28140110409,4925095.649290081,67.34993359678916
2014,África,Rússia,Indústria,5191.77425920874,9714.308415601705,177012.07627001707,3356497.147441986,46.27097113854731
2001,América do Sul,Índia,Indústria,2614.5613284870274,5607.431156514718,42304.33179457944,6108961.902384094,66.30833514562802
2016,América do Sul,Brasil,Residencial,6442.84576904797,10931.307411640888,29964.6676052939,4122745.8526902664,109.40839495521882
2022,Europa,China,Transporte,5238.3623025134275,14124.40622545989,78153.57763114804,3333532.850459906,106.39027414646581
2005,América do Sul,Estados Unidos,Indústria,4340.107699120708,15329.904681511627,101330.70829776594,2017517.9152576667,78.47223738144496
2003,África,China,Transporte,6361.605457544462,13080.25693691035,89666.69155008493,5842612.730337473,11.049628743051969
2018,Oceania,Brasil,Residencial,8109.593200235104,14545.725302275869,94926.04797586403,1996140.9049676554,93.1165498337327
2001,América do Norte,Rússia,Comercial,4268.660933175333,9612.384729500025,79760.74749325296,7581246.677558817,162.32344326919178
2017,Oceania,Austrália,Comercial,4489.993011679425,14484.353519167365,112387.34227267708,2547445.353287471,46.73061670196079
2022,América do Sul,Brasil,Comercial,8719.558960281514,7939.16647758099,160014.93553437776,4953672.103123538,44.87758504008429
2006,América do Norte,Rússia,Comercial,3434.4524278603876,9773.590925206305,42001.3075596406,5583584.429978542,101.97750771729096
2009,América do Sul,Brasil,Indústria,4260.268173716611,5083.514717199487,112252.1082242342,3109214.649440032,48.15708280286669
2013,Ásia,Estados Unidos,Residencial,3068.226185457119,22915.619229988264,52549.066702669465,7493960.369098395,144.69792942489926
2014,América do Sul,China,Transporte,2257.4226587978897,14473.451708590403,143186.53973396355,3276775.262018151,182.0299608475085
2020,Europa,Brasil,Residencial,902.127676913854,12591.894597547423,113728.53725036696,4763719.9406820545,117.74157877859251
2007,África,Estados Unidos,Residencial,6813.114212670398,16591.534215011223,87646.78886591338,3222450.340803709,163.16499548572224
2019,Oceania,Austrália,Indústria,7507.824866414234,16355.930499378024,57805.19518864671,10231957.661326881,171.61488464821292
2003,Oceania,Brasil,Comercial,2384.41446518738,4978.375400339181,59786.294127382316,5795945.966847438,110.46018296430826
2006,Europa,Índia,Transporte,7327.604469620608,15358.386955382528,-7593.784066555178,2710248.8150174925,51.88378340534277
2013,América do Norte,Rússia,Indústria,5803.654806384733,6550.13185600922,42507.61721878108,3793594.2501334436,84.77983153711502
2011,Europa,Brasil,Comercial,4737.849853409623,15851.816841441649,108936.986763401,5440281.999560849,102.40178179495429
2003,América do Sul,Índia,Indústria,5471.735130174671,20601.42333774803,134498.1397055696,5020579.4964836035,3.1357172251135808
2008,América do Sul,Rússia,Comercial,6613.785214381587,10081.89330317857,40223.313684565976,8085255.357653384,84.2533810800671
2020,África,Índia,Comercial,5949.126256565616,7181.768010231746,189141.74697335943,9373500.835738096,110.40284359077488
2016,África,Índia,Residencial,6338.49139501982,16973.345003219703,170089.33429617193,4447147.066064107,128.2679109725612
2014,América do Norte,China,Indústria,3192.1017138581583,6315.443033338313,123066.67712484006,6406619.999307071,133.08312650537437
2001,África,Índia,Residencial,3921.728177414903,17985.04463165225,56489.05677847292,3065389.6893608803,81.7983352824878
2016,Oceania,Brasil,Indústria,5841.411281848912,19846.02940052825,45990.77626086767,3037653.77316897,65.26226233263962
2009,América do Sul,China,Transporte,4543.605391863349,12616.833516364406,138945.74892489714,6459251.6824089335,143.2194775348799
2003,Oceania,Índia,Residencial,5423.29402313357,8372.990963206408,82771.79751812255,3207621.207502302,44.644994007248094
2004,África,Rússia,Transporte,5416.262157454474,2400.7259893914243,184303.81210614787,3136457.674985515,76.67411364569948
2001,América do Sul,Estados Unidos,Indústria,4929.14121211107,13737.415295945646,124124.18103885005,3782773.6252871063,74.67155929697118
2022,América do Norte,Austrália,Comercial,5306.57445146279,17153.462656320506,62349.08796220477,5157618.741097981,-3.5845138443859383
2002,América do Norte,Índia,Residencial,1876.1904763028356,7531.184148270115,42659.124701901106,5156015.434084844,35.41369701381993
2006,África,China,Comercial,6766.379842779364,7482.875781235902,113311.71499053597,1148187.8615429057,134.19499768641975
2015,África,Brasil,Comercial,7039.655950996614,13065.137043137864,37679.76223929278,5907079.189815312,154.5279184183156
2001,Ásia,Rússia,Transporte,6058.932806772751,14089.273469627227,68887.21272055407,3255949.6940178378,108.57954106096905
2020,América do Sul,Brasil,Comercial,4298.089129744598,8828.424579249611,118612.67038270485,7733747.397979695,95.88512040902329
2000,Ásia,Estados Unidos,Indústria,6076.45700885769,4375.794370882423,71116.90651186055,6066631.696292574,158.9569453698107
2010,Oceania,Estados Unidos,Indústria,4077.652141119236,1576.4394232980503,111578.47841863135,4543463.158974191,148.20715847754556
2006,África,Brasil,Transporte,4040.551129803249,13770.595069786032,90809.18793838493,5687854.984684169,73.68880381148904
2001,Ásia,Índia,Residencial,5356.295206843057,4998.70719532606,117361.85822257273,5466547.083043449,42.68125262634123
2014,América do Norte,China,Transporte,3363.34154670314,6112.742703663067,39629.700439667504,3653938.578571881,86.6320077841752
2000,Europa,Índia,Comercial,7218.774042122444,8497.907710157018,106811.64909236913,6961640.831047489,139.04166978540076
2018,Europa,Austrália,Indústria,7811.940303061787,2116.180521551676,91438.85672647915,7518813.500713561,84.47123714608266
2017,Europa,China,Comercial,2708.016867540107,4536.200962300816,55407.842070239545,7098967.35987605,64.64901891778877
2017,Oceania,Brasil,Residencial,4789.211460605983,8200.80096659248,75735.8067541011,5326820.657711891,69.90332007347581
2015,Ásia,Estados Unidos,Residencial,4142.5180283908185,12493.677719385507,112800.487392533,8448346.308376826,55.29448569036518
2021,Oceania,Austrália,Transporte,6044.4648015012235,14288.819712945455,36279.462092825444,4307841.655060258,119.59070305947687
2014,Ásia,Índia,Residencial,4605.749874216292,14376.845182621875,81570.70998248128,7389885.875396531,130.93989503960546
2013,África,Rússia,Comercial,7603.917719770805,6458.3007625761975,184282.47442603856,4884703.029655115,186.80186900123954
2010,África,China,Comercial,5069.563047123127,7572.833736654573,45792.243758538076,5798837.475521926,166.50479339690446
2014,América do Norte,Rússia,Transporte,639.544663035821,9658.12860828399,177918.25734596932,2898029.5324501647,-47.03939521464949
2021,América do Norte,China,Residencial,3691.9811110194987,7891.0762263179295,112479.67600873492,4680506.991812018,78.17193878694852
2017,Oceania,China,Transporte,5096.46797963453,13333.668725856514,60030.84872502188,5739600.403322398,98.18890854644646
2000,Ásia,China,Indústria,2165.860492901184,17565.496597206733,151096.14634024608,513203.02263783105,127.40265670935656
2009,América do Sul,Estados Unidos,Transporte,6112.315900552132,8264.452402389745,125251.79709599938,3972343.834741086,28.712457081895337
2020,Europa,Austrália,Comercial,7762.98886281999,8086.370591724652,75137.36167870274,10508219.944326906,147.82570830621603
2016,América do Norte,Índia,Residencial,4626.006105844562,14153.925641251899,123742.05263357655,3731953.2758282614,43.36108012910685
2008,Oceania,Índia,Indústria,7232.029124354353,5011.227758745422,39823.908433062395,1711808.3698362308,192.9905164436739
2022,África,Rússia,Residencial,9930.5034875963,1585.9793642007353,107024.68034970177,6810763.411256555,160.76449986502286
2000,Oceania,Estados Unidos,Indústria,5257.300415778729,21643.10281554841,249096.43791570148,6985833.688606602,99.29556938538225
2011,América do Norte,Brasil,Transporte,4633.155450920076,12098.873658098877,192240.1452495332,8143256.644140387,25.860302053310633
2009,África,Índia,Indústria,4865.4032784393585,3876.079771633563,98282.763868999,4936746.911016723,45.50225732805576
2011,Europa,Índia,Transporte,3971.386549708558,7008.265390529261,164414.89592729614,6698138.71031516,50.360023429717195
2009,Europa,Estados Unidos,Residencial,5358.498744231361,12375.912271967341,146270.76676586267,5570185.35182526,68.44715207659867
2012,América do Sul,Índia,Residencial,2391.151977310815,13808.13331614997,1753.007255698889,1289443.047779161,61.09117321793594
2020,América do Sul,Índia,Comercial,5449.087656169426,6050.268455587422,53755.75553692917,6043142.335038295,127.8535147302974
2016,América do Norte,Índia,Indústria,5017.152066950385,7085.141483297224,121579.45083884144,6216899.031498835,215.76248289913462
2002,América do Sul,Rússia,Transporte,5046.490069608894,4686.756063143131,144865.11622370692,4796709.147427032,113.11654813372691
2001,África,China,Indústria,9397.305249064972,-4776.563736192902,63087.52332737118,9673706.83368971,72.67325731358054
2011,América do Norte,Rússia,Transporte,6478.116326754123,18338.314554918637,145683.49882567328,5897806.943318707,58.073115712005425
2014,Ásia,Rússia,Comercial,4660.675723126455,7533.568578809161,77562.4624791948,5676424.506065175,84.55335920137613
2010,Europa,Estados Unidos,Residencial,9181.882664768758,15929.804373281197,101671.72076034406,2734211.8903181436,125.95095838515297
2007,Oceania,Índia,Comercial,7862.66640456111,4497.661649384459,49722.64824429217,5891719.2015225245,132.8684201015588
2015,América do Norte,Austrália,Transporte,8074.550674318882,18474.1778213048,105471.76697280751,7286279.667275756,89.27461874077902
2000,América do Sul,Estados Unidos,Residencial,2882.5917338692598,9375.00357951939,91799.26335339225,6021616.169638817,75.28074913564376
2001,Europa,Índia,Indústria,4713.861469453203,10230.677745231897,178533.89490845363,4235432.111909641,42.4651501361125
2004,Ásia,Rússia,Residencial,6174.364436258759,4213.463715969685,62184.96894078122,6596314.64473056,118.96496681899484
2011,América do Norte,Rússia,Indústria,6252.812510919546,15759.191578673617,97916.80490906822,2255935.2680855454,113.48632189347259
2000,América do Sul,Brasil,Transporte,4645.516401985727,11140.302222444305,101678.68824092374,6873951.112988082,25.828324086797664
2012,Oceania,Brasil,Residencial,5479.345171329029,13265.65477937132,71085.16310599758,6231848.946713668,130.68630519539957
2022,África,Estados Unidos,Comercial,4818.5474500756245,8776.270543621209,2931.7015135628462,7704852.254248138,45.46586348661922
2002,América do Norte,Brasil,Transporte,2471.2463169464963,20672.047323188177,150861.56752204132,4662103.479850311,69.85564989575417
2010,África,Rússia,Comercial,2736.6179191332294,988.2960575300476,191484.8731042667,6916877.5063204635,174.0212089792659
2006,América do Sul,China,Transporte,6964.454072698996,13334.930712920148,223950.9530180918,6494599.760764509,132.82904000165814
2012,América do Sul,Estados Unidos,Residencial,6702.516703945965,3543.3164317453256,29217.108531440055,5711394.04395422,42.750315663017204
2007,Europa,China,Indústria,5189.134244356688,16417.149610862398,184510.70946803817,5361361.274387167,100.78333205254901
2020,Oceania,Índia,Comercial,4193.952547361934,14813.7355883642,135405.94223306316,3858439.243757121,52.549854133717744
2008,Oceania,Estados Unidos,Residencial,2529.756414038862,13977.010760592471,52079.635408691014,8058808.139471374,139.82862677622563
2006,Oceania,Brasil,Residencial,5347.768733360515,4938.240013712022,116832.96929149877,3206230.375685384,130.64596374997603
2018,Oceania,Índia,Transporte,6212.778518594567,7567.650665757846,90870.13141397442,3694229.9935149173,154.9178915499279
2015,América do Sul,Estados Unidos,Comercial,8486.597319503191,13274.303538434233,-1189.1445893728087,6110021.351183265,102.25216525661513
2022,Europa,Índia,Residencial,3118.701339213546,14501.986098024747,91390.70181653636,882807.7549510514,95.48187747203711
2021,África,Rússia,Indústria,7135.130440300849,12316.299040270755,76266.51639267623,3117810.9236322343,68.38810755918348
2010,Europa,China,Indústria,3573.0483010959642,239.01229798630993,77169.11517076369,2170496.950532272,91.04570694047526
2021,América do Sul,China,Indústria,4767.317506879517,22339.244556531976,56166.803678070275,8165465.989153167,64.63229239804781
2013,Europa,Índia,Indústria,8006.321260475993,9085.144700839272,179100.91055698704,5535340.624430267,-24.786839120434976
2004,Europa,China,Indústria,1587.0169052219026,15626.648536835502,124544.07805171185,7386626.145369775,105.33164730082694
2003,Europa,Rússia,Indústria,5161.591833809767,10693.937361584078,34139.47525893706,4758857.027987285,60.58670214134971
2005,Oceania,Brasil,Residencial,4353.278998876124,4531.936295755193,136666.31887292868,3305764.330590102,46.61505767119903
2013,África,Rússia,Residencial,3101.758901489935,10400.305370939943,127023.03558252486,4720558.671918332,135.86990366014774
2022,Oceania,Índia,Transporte,5124.596492351184,11283.43073945908,37743.948899595205,3115598.330483457,174.5695744699108
2003,Europa,China,Comercial,5812.8387625287505,15856.91990230373,58474.651173147184,6222549.84680882,117.3359513024195
2019,Oceania,Brasil,Residencial,2378.138093982754,17591.818349383386,132910.37204424336,3631887.9351242064,121.53223229213083
2006,África,Índia,Comercial,4583.067645203965,1036.8604037398727,186536.7825031929,6138080.689362917,83.4164936169155
2000,Ásia,Estados Unidos,Transporte,5290.596329330182,6227.760718104963,174026.92943042077,3839220.024172142,62.95283255425469
2018,América do Sul,Austrália,Comercial,3403.532846685945,11705.780582668369,127501.02624387955,3166129.991214704,95.43063725764434
2013,Europa,Austrália,Transporte,7214.945359517248,15190.295294238524,99397.34207509834,2858436.4592721104,88.62844775871511
2007,Europa,Austrália,Residencial,6623.820329706075,12975.59731727841,52905.0457931736,2346327.232986232,36.62197087474595
2004,Ásia,Estados Unidos,Indústria,6043.342395790116,13521.989558819445,102924.29988970507,4388719.156989124,83.0545551890628
2021,Oceania,Índia,Residencial,6818.838284253298,8305.653320290743,40274.615812207914,4658388.790700678,85.51261994465443
2004,África,China,Residencial,1887.5721364172691,3910.022162538148,93035.06926139253,1605287.1973432684,112.92948964963684
2009,Oceania,Índia,Transporte,6283.3692627146465,8687.492473484705,122881.4164026357,3235882.0276835687,102.73129077145123
2016,Europa,Índia,Transporte,4589.886930665847,8401.782226073152,72902.57564138029,8973562.429755898,72.40863894040541
2021,América do Sul,China,Indústria,4377.2323203988435,7159.61675830883,40367.434984183514,6535802.85113743,145.80926349646822
2014,Ásia,Estados Unidos,Residencial,3018.0790984357864,11427.393234887608,89601.51172699204,6301714.297676127,74.11063020919043
2013,América do Sul,Estados Unidos,Comercial,6180.866778428325,9486.465928104059,52615.90558390107,4357494.344552038,124.07452844869766
2021,América do Norte,China,Transporte,6387.598058992844,9065.27233557498,118418.74771133256,6730326.533206541,165.77112634677474
2016,América do Sul,China,Residencial,6269.710320407269,8310.54264475443,96329.58148905863,5034119.338417842,80.83433357975471
2013,Oceania,Brasil,Transporte,5468.705733761164,8870.865768674776,102748.86272601562,7150550.869044301,59.75851345001305
2013,América do Norte,Estados Unidos,Comercial,3553.1031906012927,11581.579731900565,71144.06598998504,3817552.3915639436,16.97377120829381
