id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID12171,25,MALE,INNER_CITY,14064.9,1,3,1,1,1,0,0
ID12172,21,MALE,INNER_CITY,8062.73,0,0,0,0,1,0,1
ID12173,36,MALE,INNER_CITY,31982,1,3,1,1,1,1,1
ID12174,58,FEMALE,INNER_CITY,23197.5,1,2,0,1,0,1,0
ID12175,64,FEMALE,INNER_CITY,52674,0,2,1,1,1,0,1
ID12176,59,FEMALE,RURAL,35610.5,0,2,1,0,0,0,1
ID12177,45,FEMALE,TOWN,26948,0,0,0,1,1,1,0
ID12178,61,MALE,INNER_CITY,49456.7,1,1,1,1,1,1,1
ID12179,30,FEMALE,INNER_CITY,14724.5,1,0,1,0,1,0,0
ID12180,58,FEMALE,TOWN,34524.9,1,2,1,1,0,0,1
ID12181,50,FEMALE,TOWN,22052.1,0,3,0,1,1,0,1
ID12182,30,MALE,INNER_CITY,27808.1,0,3,0,0,1,0,0
ID12183,29,FEMALE,INNER_CITY,12591.4,1,1,0,1,1,0,0
ID12184,35,MALE,INNER_CITY,16394.4,1,1,0,1,1,0,1
ID12185,62,MALE,INNER_CITY,24026.1,1,0,0,0,1,1,1
ID12186,36,MALE,INNER_CITY,31683.1,1,1,1,1,1,0,1
ID12187,25,FEMALE,INNER_CITY,15525,1,0,0,1,1,0,0
ID12188,66,FEMALE,TOWN,22562.2,0,0,1,1,1,1,0
ID12189,30,MALE,SUBURBAN,15848.7,1,0,1,1,0,1,0
ID12190,54,FEMALE,INNER_CITY,31095.6,1,2,0,0,1,0,1
ID12191,37,MALE,TOWN,24814.5,1,1,1,0,1,1,1
ID12192,28,FEMALE,INNER_CITY,25429.3,0,2,0,1,1,1,0
ID12193,53,FEMALE,RURAL,34866.5,0,0,0,0,1,0,1
ID12194,61,MALE,INNER_CITY,42579.1,1,2,1,1,1,0,0
ID12195,61,FEMALE,INNER_CITY,41127.4,1,0,1,1,0,0,0
ID12196,18,FEMALE,INNER_CITY,9990.11,1,0,0,1,1,0,0
ID12197,22,MALE,INNER_CITY,7948.62,1,1,0,0,0,1,0
ID12198,34,MALE,TOWN,30870.8,1,2,1,1,1,1,1
ID12199,35,FEMALE,INNER_CITY,12125.8,0,2,0,1,1,0,0
ID12200,18,FEMALE,RURAL,15348.9,1,0,1,0,1,0,0
ID12201,54,MALE,INNER_CITY,26707.9,1,1,0,1,1,1,1
ID12202,27,FEMALE,INNER_CITY,11604.4,1,2,1,1,1,0,0
ID12203,42,MALE,INNER_CITY,15499.9,1,0,1,0,1,1,1
ID12204,43,MALE,TOWN,33088.5,0,0,0,1,1,1,0
ID12205,64,FEMALE,INNER_CITY,34513.6,1,1,0,1,1,0,1
ID12206,43,MALE,TOWN,32395.5,1,3,1,1,1,0,0
ID12207,49,MALE,RURAL,46633,1,0,1,1,0,0,0
ID12208,23,MALE,INNER_CITY,13039.9,1,0,0,0,1,0,0
ID12209,23,MALE,INNER_CITY,12681.9,0,0,0,1,1,0,1
ID12210,30,FEMALE,INNER_CITY,24031.5,1,2,1,1,1,1,0
ID12211,36,MALE,TOWN,37330.5,0,2,0,1,1,0,1
ID12212,34,MALE,INNER_CITY,25333.2,1,3,1,0,0,1,0
ID12213,51,FEMALE,INNER_CITY,37094.2,1,0,1,0,1,0,0
ID12214,36,MALE,TOWN,33630.6,0,2,1,1,1,0,1
ID12215,56,MALE,INNER_CITY,43228.2,1,1,1,1,1,0,1
ID12216,54,FEMALE,INNER_CITY,47796.8,1,0,0,1,1,0,0
ID12217,56,FEMALE,TOWN,21730.3,1,2,0,1,0,0,0
ID12218,26,MALE,INNER_CITY,10044.1,1,3,0,1,1,1,0
ID12219,39,MALE,TOWN,17270.1,0,0,1,0,0,0,1
ID12220,64,FEMALE,RURAL,45765,1,3,1,1,1,0,1
ID12221,46,MALE,RURAL,29525.5,0,2,0,1,0,1,0
ID12222,62,FEMALE,RURAL,54863.8,1,1,1,1,1,0,1
ID12223,36,FEMALE,TOWN,20799,1,1,0,1,0,1,1
ID12224,35,FEMALE,RURAL,33028.3,0,1,0,1,1,0,1
ID12225,47,MALE,RURAL,45031.9,0,3,1,1,0,0,1
ID12226,47,MALE,INNER_CITY,39010.8,1,2,0,0,1,0,1
ID12227,37,FEMALE,TOWN,25257.7,1,0,1,1,1,0,0
ID12228,48,FEMALE,INNER_CITY,42603.9,1,0,0,1,1,0,0
ID12229,41,MALE,TOWN,14092.7,1,3,1,1,1,0,0
ID12230,27,FEMALE,RURAL,21350.3,0,0,1,1,1,0,1
ID12231,43,MALE,INNER_CITY,23246.4,0,2,0,0,1,0,0
ID12232,61,MALE,RURAL,41609.5,1,3,0,1,1,1,0
ID12233,52,FEMALE,SUBURBAN,16716.1,0,2,1,1,1,0,0
ID12234,64,FEMALE,SUBURBAN,36436.4,1,0,1,0,1,0,0
ID12235,66,FEMALE,TOWN,59503.8,1,2,1,1,1,1,1
ID12236,53,FEMALE,TOWN,31334.8,1,1,1,1,1,0,1
ID12237,20,FEMALE,INNER_CITY,14048.9,1,2,1,0,1,1,0
ID12238,57,FEMALE,INNER_CITY,39205.3,0,0,0,1,1,0,1
ID12239,65,FEMALE,RURAL,42173.9,1,0,0,1,1,0,0
ID12240,64,FEMALE,INNER_CITY,55263,0,1,0,1,1,0,1
ID12241,52,MALE,INNER_CITY,37095.2,1,3,0,1,1,0,0
ID12242,47,FEMALE,INNER_CITY,22791.4,1,0,0,0,1,0,0
ID12243,28,FEMALE,TOWN,17240.6,1,1,1,0,0,1,0
ID12244,64,MALE,TOWN,48974.8,1,0,1,1,1,1,0
ID12245,25,MALE,INNER_CITY,18923,1,1,0,1,1,0,1
ID12246,58,MALE,SUBURBAN,51204.2,1,0,0,1,0,1,1
ID12247,34,MALE,TOWN,20236.2,1,2,1,0,1,0,0
ID12248,20,FEMALE,INNER_CITY,18860.3,0,2,0,1,1,0,0
ID12249,63,MALE,RURAL,25732.5,1,0,1,1,0,0,0
ID12250,30,FEMALE,SUBURBAN,28240.4,1,3,1,1,1,0,0
ID12251,53,MALE,RURAL,28193.6,1,1,1,1,1,0,1
ID12252,43,MALE,TOWN,36432.8,0,2,1,0,1,0,1
ID12253,63,MALE,TOWN,54618.8,1,2,0,1,0,1,1
ID12254,33,MALE,INNER_CITY,24760.8,1,1,0,1,1,1,1
ID12255,41,MALE,RURAL,23356.1,0,2,1,0,0,0,0
ID12256,20,FEMALE,SUBURBAN,8143.75,1,2,0,1,1,0,1
ID12257,50,MALE,TOWN,26462.5,1,0,1,1,1,0,0
ID12258,24,MALE,RURAL,20467.3,1,2,1,1,1,0,0
ID12259,60,FEMALE,TOWN,21506.2,1,0,0,0,1,0,1
ID12260,44,FEMALE,TOWN,15315.3,1,1,0,1,1,0,1
ID12261,23,MALE,INNER_CITY,18875.7,1,2,1,1,1,0,0
ID12262,40,FEMALE,INNER_CITY,12977.2,1,0,0,0,0,0,0
ID12263,49,FEMALE,TOWN,20708.5,0,3,0,0,1,0,0
ID12264,21,FEMALE,TOWN,7549.38,0,1,1,0,1,0,0
ID12265,40,FEMALE,INNER_CITY,24904,1,0,0,0,0,0,0
ID12266,26,MALE,RURAL,24071.8,1,1,0,0,1,1,1
ID12267,20,MALE,TOWN,9589.91,0,1,0,1,1,1,0
ID12268,24,MALE,INNER_CITY,8562.86,0,1,0,0,0,1,0
ID12269,37,FEMALE,TOWN,26707.5,0,0,1,1,1,0,0
ID12270,56,MALE,INNER_CITY,34020.5,1,0,0,0,1,0,0
ID12271,52,MALE,INNER_CITY,49175.7,1,0,1,1,1,0,0
ID12272,22,MALE,INNER_CITY,19726.3,1,2,0,0,1,0,0
ID12273,35,MALE,INNER_CITY,24346.6,1,3,1,1,1,0,0
ID12274,34,MALE,RURAL,26999.4,1,1,1,1,1,0,1
ID12275,67,FEMALE,TOWN,41558.1,1,2,0,1,1,0,1
ID12276,58,FEMALE,INNER_CITY,56340.3,0,0,0,1,1,0,1
ID12277,40,MALE,TOWN,37558.5,1,0,1,1,1,0,0
ID12278,41,FEMALE,INNER_CITY,30099.3,1,0,1,1,1,1,1
ID12279,43,MALE,INNER_CITY,15254.8,1,0,0,0,0,0,1
ID12280,63,MALE,INNER_CITY,36086.1,1,2,0,0,1,0,1
ID12281,22,FEMALE,INNER_CITY,17655,1,1,0,1,1,1,1
ID12282,60,MALE,RURAL,56658.9,0,0,0,1,1,0,1
ID12283,65,FEMALE,INNER_CITY,37706.5,0,0,1,1,1,1,0
ID12284,48,FEMALE,INNER_CITY,18516,1,2,1,1,1,1,0
ID12285,38,FEMALE,INNER_CITY,29622,0,0,1,1,0,1,0
ID12286,49,MALE,RURAL,32669.9,1,1,1,1,1,1,1
ID12287,20,FEMALE,INNER_CITY,18275.5,1,0,0,0,0,1,1
ID12288,48,FEMALE,TOWN,34410,1,1,0,0,1,0,1
ID12289,38,MALE,INNER_CITY,34866.9,1,2,1,0,1,1,0
ID12290,41,FEMALE,INNER_CITY,21796.6,1,0,0,0,1,0,0
ID12291,67,FEMALE,SUBURBAN,63130.1,1,2,1,1,1,0,1
ID12292,39,MALE,INNER_CITY,14996.4,1,1,1,1,0,0,0
ID12293,64,FEMALE,RURAL,49024.9,1,3,0,1,1,0,1
ID12294,41,MALE,INNER_CITY,16249.8,1,0,1,0,1,1,1
ID12295,55,MALE,SUBURBAN,36192.1,1,2,1,0,1,0,1
ID12296,52,MALE,INNER_CITY,17839.9,1,1,0,1,0,1,1
ID12297,30,FEMALE,INNER_CITY,18802.4,0,0,0,0,1,1,1
ID12298,52,MALE,INNER_CITY,48720.3,1,2,1,1,1,0,1
ID12299,26,MALE,INNER_CITY,14585.9,0,2,0,0,1,1,0
ID12300,26,FEMALE,INNER_CITY,20819,1,0,0,1,1,0,1
ID12301,46,MALE,TOWN,26077.8,1,1,1,1,1,0,1
ID12302,46,FEMALE,TOWN,41627.1,1,0,0,1,1,1,0
ID12303,52,MALE,INNER_CITY,16977.3,1,0,0,0,1,0,0
ID12304,37,MALE,INNER_CITY,19012.8,0,3,1,0,1,0,0
ID12305,22,MALE,INNER_CITY,12764.8,1,1,0,1,1,1,1
ID12306,18,MALE,INNER_CITY,14388.6,0,0,1,0,1,1,1
ID12307,63,MALE,INNER_CITY,59409.1,0,0,1,1,1,0,1
ID12308,25,FEMALE,INNER_CITY,14960.2,1,0,0,1,1,1,0
ID12309,67,MALE,INNER_CITY,39666.6,1,0,1,1,1,0,0
ID12310,27,MALE,INNER_CITY,20771.9,0,0,0,1,0,0,1
ID12311,61,MALE,INNER_CITY,24474.1,0,0,1,0,0,0,1
ID12312,58,MALE,TOWN,33123.7,1,1,1,1,1,0,1
ID12313,22,MALE,INNER_CITY,14433.4,1,0,1,1,1,0,1
ID12314,28,MALE,TOWN,13175.5,0,1,0,0,1,0,1
ID12315,23,MALE,INNER_CITY,9824.37,1,0,0,1,1,0,0
ID12316,27,MALE,SUBURBAN,17610.3,1,0,0,1,1,0,0
ID12317,27,FEMALE,SUBURBAN,15156.2,1,0,1,0,1,0,0
ID12318,40,FEMALE,INNER_CITY,31774.1,1,3,1,1,1,1,0
ID12319,39,MALE,TOWN,31693.5,0,0,1,1,0,0,1
ID12320,35,FEMALE,INNER_CITY,28598.7,1,0,1,1,1,0,0
ID12321,37,FEMALE,INNER_CITY,26261.7,0,2,1,0,0,0,0
ID12322,47,MALE,INNER_CITY,42124.1,1,2,0,1,1,0,1
ID12323,42,FEMALE,INNER_CITY,39308.7,1,1,0,1,1,0,1
ID12324,67,FEMALE,INNER_CITY,43530,1,0,0,1,1,1,0
ID12325,57,MALE,RURAL,49874.4,1,3,0,1,1,0,1
ID12326,47,FEMALE,RURAL,27434.8,0,0,1,1,1,0,1
ID12327,67,MALE,INNER_CITY,50474.6,1,2,1,1,1,0,1
ID12328,56,MALE,TOWN,24888.2,0,0,0,1,1,0,1
ID12329,37,MALE,RURAL,28021.6,0,0,1,0,1,1,1
ID12330,27,MALE,INNER_CITY,12279.5,0,0,1,0,0,0,1
ID12331,59,FEMALE,INNER_CITY,30189.4,1,0,1,0,1,1,1
ID12332,31,MALE,INNER_CITY,28969.4,0,1,0,0,1,1,0
ID12333,31,MALE,SUBURBAN,14058.5,1,0,0,0,1,1,1
ID12334,32,FEMALE,TOWN,30404.3,1,0,1,1,1,0,0
ID12335,57,FEMALE,RURAL,41438.2,0,3,0,1,0,0,0
ID12336,49,FEMALE,INNER_CITY,16711.3,0,1,0,1,1,1,1
ID12337,65,MALE,TOWN,52255.9,0,2,1,1,1,0,1
ID12338,22,FEMALE,INNER_CITY,17866.9,1,2,0,1,1,1,0
ID12339,26,FEMALE,RURAL,18067.5,1,2,0,1,0,0,0
ID12340,23,MALE,INNER_CITY,12823.7,1,0,1,1,1,0,0
ID12341,26,FEMALE,RURAL,11299.3,1,2,1,0,0,0,0
ID12342,59,FEMALE,INNER_CITY,56031.1,0,0,1,1,1,0,1
ID12343,67,MALE,INNER_CITY,35263.5,1,1,1,1,1,0,1
ID12344,34,FEMALE,INNER_CITY,19968.1,1,0,1,1,1,0,0
ID12345,50,MALE,RURAL,27825.5,1,2,1,1,0,0,0
ID12346,46,MALE,SUBURBAN,37773.9,0,0,1,1,1,1,0
ID12347,23,FEMALE,INNER_CITY,7606.25,0,3,1,0,0,0,0
ID12348,26,MALE,RURAL,21384.4,1,0,0,0,1,0,0
ID12349,40,MALE,TOWN,20347,1,3,0,1,1,0,0
ID12350,36,MALE,TOWN,21332.3,1,3,1,0,1,0,0
ID12351,65,MALE,INNER_CITY,57671.7,0,0,0,1,1,1,0
ID12352,45,FEMALE,TOWN,36057.8,1,1,1,1,1,1,1
ID12353,23,MALE,INNER_CITY,14290.5,1,2,0,0,1,1,0
ID12354,42,FEMALE,TOWN,17882.9,1,1,0,0,0,0,1
ID12355,21,FEMALE,RURAL,10629.1,0,3,0,1,1,1,0
ID12356,62,FEMALE,INNER_CITY,24262.8,0,0,1,0,1,0,1
ID12357,49,FEMALE,SUBURBAN,26097.9,0,2,0,1,1,0,0
ID12358,28,FEMALE,TOWN,23371,1,2,0,0,1,1,0
ID12359,38,FEMALE,TOWN,21495.6,0,3,0,0,1,1,0
ID12360,36,MALE,TOWN,12166.9,0,0,0,0,0,0,0
ID12361,22,MALE,SUBURBAN,17180.2,1,0,0,1,1,0,0
ID12362,40,FEMALE,TOWN,28882.3,1,1,0,1,1,1,1
ID12363,40,FEMALE,TOWN,21612.2,1,0,0,0,1,0,0
ID12364,60,FEMALE,INNER_CITY,46358.4,1,0,1,1,1,1,0
ID12365,23,MALE,INNER_CITY,19166,0,0,1,1,0,0,1
ID12366,21,MALE,INNER_CITY,17921.8,1,1,1,0,0,0,1
ID12367,58,MALE,TOWN,33229,0,0,1,1,1,0,1
ID12368,48,FEMALE,SUBURBAN,30396.1,0,0,0,1,1,0,1
ID12369,63,FEMALE,TOWN,34625.2,1,0,1,0,1,0,0
ID12370,20,MALE,TOWN,16672.8,0,3,1,0,1,1,0
ID12371,67,FEMALE,SUBURBAN,60747.5,0,2,0,1,1,1,1
ID12372,62,FEMALE,INNER_CITY,56394.3,0,0,1,1,1,0,1
ID12373,36,MALE,TOWN,13236.4,1,0,0,1,1,0,0
ID12374,31,MALE,INNER_CITY,28409.4,1,1,1,0,1,0,1
ID12375,42,FEMALE,INNER_CITY,27056.5,1,0,1,1,1,0,0
ID12376,18,MALE,RURAL,9362.58,1,0,1,0,1,1,1
ID12377,46,FEMALE,SUBURBAN,28702.7,0,1,0,1,1,1,1
ID12378,25,MALE,TOWN,22366.1,1,1,1,1,1,0,1
ID12379,65,FEMALE,RURAL,24477.5,0,0,0,1,0,1,0
ID12380,40,MALE,TOWN,36972.4,1,1,0,0,1,1,1
ID12381,32,MALE,INNER_CITY,22327.8,1,1,0,0,0,0,1
ID12382,18,FEMALE,INNER_CITY,15610.2,1,0,0,1,1,0,0
ID12383,64,MALE,INNER_CITY,54314.5,1,1,1,1,0,0,1
ID12384,43,FEMALE,INNER_CITY,39175.8,1,3,0,1,1,1,0
ID12385,22,FEMALE,INNER_CITY,13739,1,3,0,1,1,0,0
ID12386,25,MALE,TOWN,9485.84,1,0,0,0,0,0,0
ID12387,39,MALE,INNER_CITY,24675.7,1,1,1,1,1,1,1
ID12388,58,FEMALE,INNER_CITY,28253.6,1,3,0,0,1,0,0
ID12389,33,MALE,INNER_CITY,14136.5,1,1,0,1,0,0,0
ID12390,52,FEMALE,RURAL,37162.1,1,1,1,1,1,0,1
ID12391,23,MALE,INNER_CITY,13519.2,0,0,0,1,1,0,1
ID12392,44,FEMALE,INNER_CITY,39253.6,0,0,1,1,0,0,1
ID12393,51,MALE,RURAL,46323.8,1,2,1,1,1,1,1
ID12394,26,FEMALE,TOWN,20950.7,1,0,0,1,1,0,0
ID12395,42,MALE,TOWN,22495.7,1,0,0,1,0,1,0
ID12396,34,MALE,TOWN,32548.9,1,0,1,1,1,1,0
ID12397,54,FEMALE,RURAL,24583.4,0,2,1,1,1,1,0
ID12398,18,MALE,RURAL,8639.24,1,2,0,0,0,0,0
ID12399,47,FEMALE,INNER_CITY,17139.5,0,2,1,0,1,0,0
ID12400,24,FEMALE,INNER_CITY,13667.7,1,0,0,1,1,0,0
ID12401,19,FEMALE,INNER_CITY,8162.42,1,1,1,1,1,1,0
ID12402,37,FEMALE,TOWN,15349.6,1,0,0,1,0,0,0
ID12403,45,FEMALE,TOWN,29231.4,1,0,0,1,0,0,0
ID12404,49,MALE,RURAL,41462.3,1,3,0,1,1,1,0
ID12405,67,FEMALE,RURAL,57398.1,0,3,0,1,1,0,1
ID12406,35,FEMALE,RURAL,11520.8,1,0,0,0,1,0,0
ID12407,63,MALE,INNER_CITY,52117.3,0,2,1,1,1,0,1
ID12408,38,MALE,RURAL,26281.4,0,0,1,1,1,0,1
ID12409,48,MALE,TOWN,25683.4,0,2,1,1,1,0,0
ID12410,28,FEMALE,INNER_CITY,11920.7,0,1,0,1,1,0,0
ID12411,46,MALE,TOWN,30658.7,1,0,0,1,1,0,0
ID12412,66,MALE,INNER_CITY,36646.4,0,1,0,1,1,0,1
ID12413,61,FEMALE,TOWN,30760.4,0,2,1,0,1,0,1
ID12414,18,FEMALE,RURAL,16109.9,0,2,1,1,1,0,0
ID12415,54,FEMALE,TOWN,18036.7,1,0,1,1,0,0,0
ID12416,45,MALE,RURAL,42628.3,0,0,1,1,1,1,0
ID12417,60,MALE,INNER_CITY,22110.1,0,2,1,1,1,0,0
ID12418,45,FEMALE,TOWN,37689.1,0,1,0,1,1,1,1
ID12419,31,FEMALE,INNER_CITY,23171.8,0,2,0,1,0,0,0
ID12420,39,MALE,SUBURBAN,21951.3,0,0,1,1,1,1,0
ID12421,53,MALE,INNER_CITY,38103.4,0,2,1,1,1,0,1
ID12422,35,MALE,RURAL,22882.9,1,0,1,0,0,1,1
ID12423,25,FEMALE,TOWN,11043.7,1,1,1,1,0,1,0
ID12424,32,MALE,TOWN,24027.6,0,0,0,1,1,0,1
ID12425,36,MALE,SUBURBAN,28495.1,1,0,0,1,1,0,0
ID12426,24,FEMALE,TOWN,9465.21,0,0,0,0,1,0,1
ID12427,39,MALE,INNER_CITY,34852.3,1,1,0,1,0,1,1
ID12428,24,MALE,INNER_CITY,21268.4,1,0,0,0,1,1,1
ID12429,57,FEMALE,RURAL,50849.2,0,1,0,1,0,1,1
ID12430,27,FEMALE,TOWN,18555.9,1,3,0,0,1,0,0
ID12431,66,FEMALE,RURAL,52769.9,1,3,1,1,1,0,1
ID12432,18,FEMALE,INNER_CITY,11601.4,1,2,0,1,1,1,0
ID12433,33,FEMALE,TOWN,29541.7,1,0,0,1,0,0,0
ID12434,48,MALE,SUBURBAN,17861,1,2,0,1,1,0,0
ID12435,23,FEMALE,SUBURBAN,21042,1,1,0,0,1,0,1
ID12436,44,MALE,TOWN,26688.1,1,1,0,1,0,1,1
ID12437,39,MALE,INNER_CITY,26900.6,1,2,0,0,0,1,0
ID12438,65,MALE,INNER_CITY,38080.9,1,1,1,1,0,1,0
ID12439,60,MALE,SUBURBAN,37554.1,1,2,1,1,1,1,1
ID12440,20,MALE,INNER_CITY,18184.6,1,0,0,0,1,1,1
ID12441,45,FEMALE,SUBURBAN,28864.9,1,0,0,1,1,0,0
ID12442,66,MALE,RURAL,48346.1,1,1,1,1,0,0,1
ID12443,64,MALE,INNER_CITY,53104.3,1,0,1,1,1,0,0
ID12444,51,FEMALE,INNER_CITY,19416.8,1,0,0,1,1,0,0
ID12445,34,MALE,RURAL,23638.1,1,2,1,1,1,0,0
ID12446,65,FEMALE,TOWN,42378.2,1,1,0,1,1,0,1
ID12447,50,MALE,RURAL,39745.3,1,0,1,1,0,1,0
ID12448,66,FEMALE,INNER_CITY,45189.8,1,0,0,1,0,0,0
ID12449,63,MALE,INNER_CITY,37930.9,1,0,0,1,0,1,0
ID12450,53,FEMALE,INNER_CITY,24042,0,1,0,0,1,0,1
ID12451,33,FEMALE,INNER_CITY,31207.1,0,0,1,0,1,1,1
ID12452,38,MALE,TOWN,24424.3,1,0,0,1,1,1,0
ID12453,56,FEMALE,RURAL,24607.8,0,1,0,1,1,1,0
ID12454,48,MALE,TOWN,43057,0,1,1,1,1,0,1
ID12455,49,FEMALE,SUBURBAN,30198.5,1,0,1,0,1,1,1
ID12456,54,FEMALE,RURAL,50186.1,1,2,0,1,1,1,1
ID12457,41,FEMALE,SUBURBAN,22916.1,1,0,0,0,1,0,0
ID12458,19,MALE,RURAL,9592.73,0,0,0,1,1,0,1
ID12459,52,FEMALE,INNER_CITY,34253.6,0,3,1,0,1,0,0
ID12460,52,FEMALE,INNER_CITY,22792.3,1,1,1,1,0,0,1
ID12461,64,FEMALE,TOWN,51620.8,0,2,1,1,1,0,1
ID12462,56,MALE,TOWN,19918.9,1,3,0,1,1,1,0
ID12463,56,MALE,TOWN,29625.1,1,2,0,0,1,0,0
ID12464,19,FEMALE,TOWN,12549,1,0,0,1,1,0,0
ID12465,56,FEMALE,TOWN,51299.3,1,1,1,1,0,0,1
ID12466,27,MALE,INNER_CITY,17364.8,1,2,1,1,0,0,1
ID12467,59,FEMALE,INNER_CITY,29866.9,0,1,1,0,1,0,1
ID12468,56,MALE,INNER_CITY,47750.2,1,0,1,1,1,1,0
ID12469,21,MALE,TOWN,11281.5,1,0,0,1,1,1,0
ID12470,64,MALE,INNER_CITY,34073.8,1,3,0,1,0,1,0
ID12471,62,MALE,INNER_CITY,46870.4,1,0,0,1,1,0,0
ID12472,44,FEMALE,INNER_CITY,38453.7,0,2,0,1,1,0,1
